article_id,title,abstract,step1_variables,step1_count,step1_IVs,step1_DVs,step1_moderators,step1_mediators,step2_final_vars,step2_final_count,step2_IVs,step2_DVs,step2_moderators,step2_mediators,step2_other_controls,step2_hierarchy,step2_hierarchy_count,step3_sentences,step3_sentence_count,step4_directional,step4_directional_count,step4_correlational,step4_correlational_count,step4_moderation,step4_moderation_count,input_tokens,output_tokens,total_tokens
json_7,Children's inferences with print and pictures. [References].,"The primary purpose of this study was to determine whether there is a difference in children's ability to answer inferential questions from pictures, print, and print with pictures. A secondary purpose was to determine whether there is a difference between more skilled and less skilled reader's ability to answer inferential questions in the different modes. The participants in the study were 116 fifth- and sixth-grade students. The materials consisted of 15 photographs and 15 passages of 150 to 200 words. Each student participated in each condition by answering 25 inferential questions. The results indicated that the students performed significantly better in the picture-only and the print-with-picture conditions than in the print-only condition. Although the more skilled readers scored significantly better than the less skilled readers in the print-only condition, there were no differences between the two ability groups in the two picture conditions. Qualitative analyses were also conducted on the students' responses for determining possible sources of errors.",mode of presentation; reading ability; ability to answer inferential questions,3,mode of presentation; reading ability,ability to answer inferential questions,,,"mode of presentation (picture, print, print with pictures); reading ability (more skilled, less skilled); ability to answer inferential questions",3,"mode of presentation (picture, print, print with pictures); reading ability (more skilled, less skilled)",ability to answer inferential questions,,,,,0,"The primary purpose of this study was to determine whether there is a difference in children's ability to answer inferential questions from pictures, print, and print with pictures.; A secondary purpose was to determine whether there is a difference between more skilled and less skilled reader's ability to answer inferential questions in the different modes.; Each student participated in each condition by answering 25 inferential questions.; The results indicated that the students performed significantly better in the picture-only and the print-with-picture conditions than in the print-only condition.; Although the more skilled readers scored significantly better than the less skilled readers in the print-only condition, there were no differences between the two ability groups in the two picture conditions.",5,"mode of presentation (picture, print, print with pictures) -> ability to answer inferential questions [validated]",1,,0,"mode of presentation (picture, print, print with pictures) moderates (reading ability (more skilled, less skilled), ability to answer inferential questions) [validated]",1,3935,7688,11623
json_97,Retaining your high performers: Moderators of the performance-job satisfaction-voluntary turnover relationship. [References].,"Two divergent ideas explain the relationship between performance and voluntary turnover. One suggests that higher performing employees, who are rewarded for their superior work product, will desire to remain with an organization that values their performance and will, consequently, be less likely than lower performing employees to voluntarily leave. An alternative idea suggests that higher performing employees, who are more desirable to external companies as a result of their superior work product, will have more external job opportunities and will, consequently, be more likely than their lower performing colleagues to voluntarily leave. The current study evaluated the behaviors and attitudes of 12,545 insurance employees over a 3-year period to examine how these 2 divergent expectations influence the performance-voluntary turnover relationship. Results show that both pay growth and the relevant unemployment rate interact with performance to influence the performance-voluntary turnover relationship and that they work independently of employee job satisfaction influences.",performance; voluntary turnover; pay growth; unemployment rate,4,performance,voluntary turnover,pay growth; unemployment rate,,performance; voluntary turnover; pay growth; unemployment rate,4,performance,voluntary turnover,pay growth; unemployment rate,,,,0,"The current study evaluated the behaviors and attitudes of 12,545 insurance employees over a 3-year period to examine how these 2 divergent expectations influence the performance-voluntary turnover relationship.; Results show that both pay growth and the relevant unemployment rate interact with performance to influence the performance-voluntary turnover relationship and that they work independently of employee job satisfaction influences.",2,performance -> voluntary turnover [validated],1,,0,"pay growth moderates (performance, voluntary turnover) [validated]; unemployment rate moderates (performance, voluntary turnover) [validated]",2,3776,4808,8584
json_100,When thriving requires effortful surviving: Delineating manifestations and resource expenditure outcomes of microaggressions for Black employees. [References].,"Although overt racism is condemned by many organizations, insidious forms of racism persist. Drawing on the conservation of resources framework (Hobfoll, 1989), this article identifies forms and outcomes of racial microaggressions-daily verbal, behavioral, and environmental indignities that denigrate individuals from racially minoritized groups (Sue, Capodilupo, et al., 2007). Leveraging survey data from 345 Black employees, open-ended question qualitative insights delineate three overarching themes of workplace microaggression toward Black employees: anti-Black stereotype expression, racialized role assignment, and interactional injustice. We also detail how these themes manifest in nine distinct ways. Then, we model the cognitive and emotional resource recovery and protection processes that Black employees engage in to overcome workplace microaggressions. Quantitative results demonstrated that workplace microaggressions related to subsequent resource replenishment (i.e., co-rumination, or discussing feelings and venting about problems with coworkers; Rose, 2002) and protection (i.e., racism-related vigilance, or mentally preparing for anticipated racism; Clark et al., 2006) efforts. Further, results suggested undesirable effects of microaggressions on burnout and job satisfaction. Finally, we found a positive relationship between resourcing efforts and job satisfaction but found no support for trait resiliency or organizational support as buffers of microaggression effects. Implications for future research and direct interventions are discussed.",workplace microaggressions; burnout; job satisfaction; trait resiliency; organizational support; co-rumination; racism-related vigilance,7,workplace microaggressions,burnout; job satisfaction,trait resiliency; organizational support,co-rumination; racism-related vigilance,workplace microaggressions; anti-Black stereotype expression; racialized role assignment; interactional injustice; burnout; job satisfaction; trait resiliency; organizational support; co-rumination; racism-related vigilance,10,"workplace microaggressions [anti-Black stereotype expression, racialized role assignment, interactional injustice]",burnout; job satisfaction,trait resiliency; organizational support,co-rumination; racism-related vigilance,,workplace microaggressions -> anti-Black stereotype expression; workplace microaggressions -> racialized role assignment; workplace microaggressions -> interactional injustice,3,"Drawing on the conservation of resources framework (Hobfoll, 1989), this article identifies forms and outcomes of racial microaggressions-daily verbal, behavioral, and environmental indignities that denigrate individuals from racially minoritized groups (Sue, Capodilupo, et al., 2007).; Leveraging survey data from 345 Black employees, open-ended question qualitative insights delineate three overarching themes of workplace microaggression toward Black employees: anti-Black stereotype expression, racialized role assignment, and interactional injustice.; We also detail how these themes manifest in nine distinct ways.; Then, we model the cognitive and emotional resource recovery and protection processes that Black employees engage in to overcome workplace microaggressions.; Quantitative results demonstrated that workplace microaggressions related to subsequent resource replenishment (i.e., co-rumination, or discussing feelings and venting about problems with coworkers; Rose, 2002) and protection (i.e., racism-related vigilance, or mentally preparing for anticipated racism; Clark et al., 2006) efforts.; Further, results suggested undesirable effects of microaggressions on burnout and job satisfaction.; Finally, we found a positive relationship between resourcing efforts and job satisfaction but found no support for trait resiliency or organizational support as buffers of microaggression effects.",7,workplace microaggressions -> co-rumination [validated]; workplace microaggressions -> racism-related vigilance [validated]; workplace microaggressions -> burnout [validated]; workplace microaggressions -> job satisfaction [validated],4,co-rumination <-> job satisfaction [validated]; racism-related vigilance <-> job satisfaction [validated],2,"trait resiliency moderates (workplace microaggressions, burnout) [null]; trait resiliency moderates (workplace microaggressions, job satisfaction) [null]; organizational support moderates (workplace microaggressions, burnout) [null]; organizational support moderates (workplace microaggressions, job satisfaction) [null]",4,4595,7630,12225
json_106,Penthranization: An adjuvant in behaviour therapy. [References].,Various adjuvants have been used to facilitate systematic desensitization by means of reciprocal inhibition. Woipe (1958) described a modification of LaVern's (1953) carbon dioxide therapy useful in the treatment of pervasive anxiety. Friedman (1966) used Brevital in the relaxation treatment of frigidity. The purpose of this communication is to describe a technique for using methoxyfhuane inhalation for the induction of muscle relaxation as an adjuvant to behaviour therapy.,,0,,,,,,0,,,,,,,0,,0,,0,,0,,0,3318,1529,4847
json_112,Social phobia: Individual response patterns and the long-term effects of behavioral and cognitive interventions. A follow-up study.,"Studied the long-term effectiveness of social skills training (SST) and rational emotive therapy (RET), on social phobia as well as the differential influence of patient characteristics on treatment effectiveness. 57 patients (aged 18-56 yrs) were assessed 14 mo after the posttest in a previous study (P. P. Mersch et al; see record 1990-02137-001). Long-term effectiveness was independent of response-pattern. Comparisons showed no differences in effectiveness in favor of either SST or RET. Explorative analysis indicated the potential predictive power for treatment-outcome of confederate ratings of overt behavior on a simulated social interaction test. Ss who needed additional treatment appeared to perform significantly worse on this measure at pretest. No factors could be traced that predicted relapse after relatively successful treatment. Duration of treatment may be a more important factor than treatment method in social phobia.",treatment method (SST vs RET); confederate ratings of overt behavior; response-pattern; long-term effectiveness on social phobia; relapse after relatively successful treatment; need for additional treatment; patient characteristics,7,treatment method (SST vs RET); confederate ratings of overt behavior; response-pattern,long-term effectiveness on social phobia; relapse after relatively successful treatment; need for additional treatment,patient characteristics,,treatment method (SST vs RET); confederate ratings of overt behavior; response-pattern; long-term effectiveness on social phobia; relapse after relatively successful treatment; need for additional treatment; patient characteristics,7,treatment method (SST vs RET); confederate ratings of overt behavior; response-pattern,long-term effectiveness on social phobia; relapse after relatively successful treatment; need for additional treatment,patient characteristics,,,,0,"Studied the long-term effectiveness of social skills training (SST) and rational emotive therapy (RET), on social phobia as well as the differential influence of patient characteristics on treatment effectiveness.; Long-term effectiveness was independent of response-pattern.; Comparisons showed no differences in effectiveness in favor of either SST or RET.; Explorative analysis indicated the potential predictive power for treatment-outcome of confederate ratings of overt behavior on a simulated social interaction test.; Ss who needed additional treatment appeared to perform significantly worse on this measure at pretest.; No factors could be traced that predicted relapse after relatively successful treatment.; Duration of treatment may be a more important factor than treatment method in social phobia.",7,treatment method (SST vs RET) -> long-term effectiveness on social phobia [null]; confederate ratings of overt behavior -> need for additional treatment [validated]; treatment method (SST vs RET) -> relapse after relatively successful treatment [null]; response-pattern -> relapse after relatively successful treatment [null]; confederate ratings of overt behavior -> relapse after relatively successful treatment [null]; patient characteristics -> relapse after relatively successful treatment [null],6,response-pattern <-> long-term effectiveness on social phobia [null],1,,0,4027,11527,15554
json_135,Multidimensional family therapy for young adolescent substance abuse: Twelve-month outcomes of a randomized controlled trial. [References].,"Research has established the dangers of early onset substance use for young adolescents and its links to a host of developmental problems. Because critical developmental detours can begin or be exacerbated during early adolescence, specialized interventions that target known risk and protective factors in this period are needed. This controlled trial (n = 83) provided an experimental test comparing multidimensional family therapy (MDFT) and a peer group intervention with young teens. Participants were clinically referred, were of low income, and were mostly ethnic minority adolescents (average age = 13.73 years). Treatments were manual guided, lasted 4 months, and were delivered by community agency therapists. Adolescents and parents were assessed at intake, at 6-weeks post-intake, at discharge, and at 6 and 12 months following treatment intake. Latent growth curve modeling analyses demonstrated the superior effectiveness of MDFT over the 12-month follow-up in reducing substance use (effect size: substance use frequency, d = 0.77; substance use problems, d = 0.74), delinquency (d = 0.31), and internalized distress (d = 0.54), and in reducing risk in family, peer, and school domains (d = 0.27, 0.67, and 0.35, respectively) among young adolescents.",Treatment condition (multidimensional family therapy vs. peer group intervention); Substance use frequency; Substance use problems; Delinquency; Internalized distress; Risk in family domain; Risk in peer domain; Risk in school domain,8,Treatment condition (multidimensional family therapy vs. peer group intervention),Substance use frequency; Substance use problems; Delinquency; Internalized distress; Risk in family domain; Risk in peer domain; Risk in school domain,,,Treatment condition (multidimensional family therapy vs. peer group intervention); Substance use; Risk; Substance use frequency; Substance use problems; Delinquency; Internalized distress; Risk in family domain; Risk in peer domain; Risk in school domain,10,Treatment condition (multidimensional family therapy vs. peer group intervention),"Substance use [Substance use frequency, Substance use problems]; Risk [Risk in family domain, Risk in peer domain, Risk in school domain]; Delinquency; Internalized distress",,,,Substance use -> Substance use frequency; Substance use -> Substance use problems; Risk -> Risk in family domain; Risk -> Risk in peer domain; Risk -> Risk in school domain,5,"This controlled trial (n = 83) provided an experimental test comparing multidimensional family therapy (MDFT) and a peer group intervention with young teens.; Latent growth curve modeling analyses demonstrated the superior effectiveness of MDFT over the 12-month follow-up in reducing substance use (effect size: substance use frequency, d = 0.77; substance use problems, d = 0.74), delinquency (d = 0.31), and internalized distress (d = 0.54), and in reducing risk in family, peer, and school domains (d = 0.27, 0.67, and 0.35, respectively) among young adolescents.",2,Treatment condition (multidimensional family therapy vs. peer group intervention) -> Substance use frequency [validated]; Treatment condition (multidimensional family therapy vs. peer group intervention) -> Substance use problems [validated]; Treatment condition (multidimensional family therapy vs. peer group intervention) -> Delinquency [validated]; Treatment condition (multidimensional family therapy vs. peer group intervention) -> Internalized distress [validated]; Treatment condition (multidimensional family therapy vs. peer group intervention) -> Risk in family domain [validated]; Treatment condition (multidimensional family therapy vs. peer group intervention) -> Risk in peer domain [validated]; Treatment condition (multidimensional family therapy vs. peer group intervention) -> Risk in school domain [validated],7,,0,,0,4396,5523,9919
json_141,Propensity scores as a basis for equating groups: Basic principles and application in clinical treatment outcome research. [References].,"A propensity score is the probability that a participant is assigned to the treatment group based on a set of baseline covariates. Propensity scores provide an excellent basis for equating treatment groups on a large set of covariates when randomization is not possible. This article provides a nontechnical introduction to propensity scores for clinical researchers. If all important covariates are measured, then methods that equate on propensity scores can achieve balance on a large set of covariates that mimics that achieved by a randomized experiment. We present an illustration of the steps in the construction and checking of propensity scores in a study of the effectiveness of a health coach versus treatment as usual on the well-being of seriously ill individuals. We then consider alternative methods of equating groups on propensity scores and estimating treatment effects including matching, stratification, weighting, and analysis of covariance. We illustrate a sensitivity analysis that can probe for the potential effects of omitted covariates on the estimate of the causal effect. Finally, we briefly consider several practical and theoretical issues in the use of propensity scores in applied settings. Propensity score methods have advantages over alternative approaches to equating groups particularly when the treatment and control groups do not fully overlap, and there are nonlinear relationships between covariates and the outcome.",health coach versus treatment as usual; well-being,2,health coach versus treatment as usual,well-being,,,health coach versus treatment as usual; well-being,2,health coach versus treatment as usual,well-being,,,,,0,We present an illustration of the steps in the construction and checking of propensity scores in a study of the effectiveness of a health coach versus treatment as usual on the well-being of seriously ill individuals.,1,health coach versus treatment as usual -> well-being [hypothesized],1,,0,,0,3977,2778,6755
json_155,Effects of a Cognitive Adjunct Procedure Within a Microtraining Situation. [References].,"The present study examined the generalization effects of three methods of counselor training: cognitive-behavioral (CB), behavioral (B), and programmed learning (PL). Each of 45 low-scoring females, prescreened on empathic communication, was randomly assigned to one of these groups. The CB and B groups received training via manuals, videotapes, and individual supervision, whereas the PL group received programmed manuals only. The CB group was exposed to cognitive strategies in addition to the skill acquisition content of the B and PL groups. Each trainee completed an interview before, after, and 4 weeks after training. The effects of training on different communication skills were examined and assessed by interview, written, and self-report measures. Findings indicated that the CB group was more empathic at posttraining and demonstrated better communication skills than the PL group at follow-up. The B group generally fell in the intermediate position between the CB and PL groups. These findings are discussed in terms of different cognitive strategies and the benefits of programmed manuals within microtraining.",counselor training method; empathic communication; communication skills,3,counselor training method,empathic communication; communication skills,,,"counselor training method (cognitive-behavioral, behavioral, programmed learning); empathic communication; communication skills",3,"counselor training method (cognitive-behavioral, behavioral, programmed learning)",empathic communication; communication skills,,,,,0,"The present study examined the generalization effects of three methods of counselor training: cognitive-behavioral (CB), behavioral (B), and programmed learning (PL).; Each of 45 low-scoring females, prescreened on empathic communication, was randomly assigned to one of these groups.; The CB and B groups received training via manuals, videotapes, and individual supervision, whereas the PL group received programmed manuals only.; The CB group was exposed to cognitive strategies in addition to the skill acquisition content of the B and PL groups.; Each trainee completed an interview before, after, and 4 weeks after training.; The effects of training on different communication skills were examined and assessed by interview, written, and self-report measures.; Findings indicated that the CB group was more empathic at posttraining and demonstrated better communication skills than the PL group at follow-up.; The B group generally fell in the intermediate position between the CB and PL groups.",8,"counselor training method (cognitive-behavioral, behavioral, programmed learning) -> empathic communication [validated]; counselor training method (cognitive-behavioral, behavioral, programmed learning) -> communication skills [validated]",2,,0,,0,4053,5309,9362
json_178,Does word identification proceed from spelling to sound to meaning? [References].,"Six experiments addressed the role of phonological information in visual word recognition using a semantic-decision task. Exp 1 replicated Van Orden's (1987) finding that Ss make more false-positive errors on homophone foils than on spelling controls, indicating phonological activation of meaning. Exp 2 showed that only lower frequency words yield this effect when broader categories are used. In Exps 3 and 4, the homophony effect for lower frequency words remained, even though the stimuli included a large proportion of homophones, suggesting that activation of phonological information cannot be strategically inhibited. Exps 5 and 6 examined effects of homophony on targets that were correct category exemplars and yielded similar results. These studies indicate that in skilled readers, phonological information contributes to the activation of word meaning only for low-frequency words.",homophony; word frequency; false-positive errors,3,homophony; word frequency,false-positive errors,word frequency,,homophony; word frequency; false-positive errors,3,homophony; word frequency,false-positive errors,word frequency,,,,0,"Six experiments addressed the role of phonological information in visual word recognition using a semantic-decision task.; Exp 1 replicated Van Orden's (1987) finding that Ss make more false-positive errors on homophone foils than on spelling controls, indicating phonological activation of meaning.; Exp 2 showed that only lower frequency words yield this effect when broader categories are used.; In Exps 3 and 4, the homophony effect for lower frequency words remained, even though the stimuli included a large proportion of homophones, suggesting that activation of phonological information cannot be strategically inhibited.; Exps 5 and 6 examined effects of homophony on targets that were correct category exemplars and yielded similar results.; These studies indicate that in skilled readers, phonological information contributes to the activation of word meaning only for low-frequency words.",6,homophony -> false-positive errors [validated],1,,0,"word frequency moderates (homophony, false-positive errors) [validated]",1,3839,5049,8888
json_216,"Self-acceptance and self-disclosure of sexual orientation in lesbian, gay, and bisexual adults: An attachment perspective. [References].","A model linking attachment variables with self-acceptance and self-disclosure of sexual orientation was tested using data from 489 lesbian, gay, and bisexual (LGB) adults. The model included the following 4 domains of variables: (a) representations of childhood attachment experiences with parents, (b) perceptions of parental support for sexual orientation, (c) general working model of attachment, and (d) LGB variables. Results generally supported the proposed model. For example, attachment avoidance and anxiety were associated with self-acceptance difficulties, and avoidance was associated with low levels of outness in everyday life. Parental attachment had an indirect effect on identity and outness through its associations with parental LGB support and general attachment. Some results varied depending on participants' gender and parental religious affiliation.",parental attachment; attachment avoidance; attachment anxiety; parental LGB support; general attachment; self-acceptance; identity; outness; gender; parental religious affiliation,10,parental attachment; attachment avoidance; attachment anxiety,self-acceptance; identity; outness,gender; parental religious affiliation,parental LGB support; general attachment,parental attachment; attachment avoidance; attachment anxiety; parental LGB support; general attachment; self-acceptance; identity; outness; gender; parental religious affiliation,10,parental attachment; attachment avoidance; attachment anxiety,self-acceptance; identity; outness,gender; parental religious affiliation,parental LGB support; general attachment,,general attachment -> attachment avoidance; general attachment -> attachment anxiety,2,"A model linking attachment variables with self-acceptance and self-disclosure of sexual orientation was tested using data from 489 lesbian, gay, and bisexual (LGB) adults.; The model included the following 4 domains of variables: (a) representations of childhood attachment experiences with parents, (b) perceptions of parental support for sexual orientation, (c) general working model of attachment, and (d) LGB variables.; Results generally supported the proposed model.; For example, attachment avoidance and anxiety were associated with self-acceptance difficulties, and avoidance was associated with low levels of outness in everyday life.; Parental attachment had an indirect effect on identity and outness through its associations with parental LGB support and general attachment.; Some results varied depending on participants' gender and parental religious affiliation.",6,parental attachment -> identity [validated]; parental attachment -> outness [validated],2,attachment avoidance <-> self-acceptance [validated]; attachment anxiety <-> self-acceptance [validated]; attachment avoidance <-> outness [validated],3,,0,3948,10877,14825
